,mgrs_tile,base_url,sensing_time,cloud_cover
1336332,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20201020T183419_N0209_R027_T11SPB_20201020T204235.SAFE,2020-10-20 18:43:58.001 UTC,0.5994
1336623,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20201010T183309_N0209_R027_T11SPB_20201010T215249.SAFE,2020-10-10 18:43:58.073 UTC,0.6639
1336808,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2B_MSIL1C_20201031T025839_N0209_R032_T50RKQ_20201031T050601.SAFE,2020-10-31 03:10:35.082 UTC,58.1796
1337063,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20201025T174429_N0209_R098_T13TDE_20201025T212809.SAFE,2020-10-25 17:53:02.444 UTC,99.8722
1338618,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20230609T181921_N0509_R127_T11SPB_20230609T231435.SAFE,2023-06-09 18:34:02.169 UTC,34.1193824838006
1338773,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20230602T182921_N0509_R027_T11SPB_20230602T232716.SAFE,2023-06-02 18:43:58.249 UTC,15.2742169196661
1339111,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20230617T173911_N0509_R098_T13TDE_20230617T225638.SAFE,2023-06-17 17:53:03.26 UTC,75.9865381547125
1339137,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20230610T174911_N0509_R141_T13TDE_20230610T224957.SAFE,2023-06-10 18:02:59.405 UTC,47.9572695511959
1340138,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20201222T175741_N0209_R141_T13TDE_20201222T200037.SAFE,2020-12-22 18:02:54.369 UTC,9.2546
1342765,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20210227T183319_N0209_R027_T11SPB_20210227T204908.SAFE,2021-02-27 18:43:53.102 UTC,44.6179
1345154,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2B_MSIL1C_20180306T025549_N0206_R032_T50RKQ_20180306T135637.SAFE,2018-03-06 03:04:42.8 UTC,99.4439
1345886,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20180320T183041_N0206_R027_T11SPB_20180320T221007.SAFE,2018-03-20 18:40:03.66 UTC,63.4135
1347736,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20230724T181919_N0509_R127_T11SPB_20230724T202610.SAFE,2023-07-24 18:34:04.354 UTC,16.0904476096629
1348807,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20171207T183301_N0206_R127_T11SPB_20171207T195809.SAFE,2017-12-07 18:33:04.46 UTC,0.895
1349326,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20171212T182739_N0206_R127_T11SPB_20171212T215059.SAFE,2017-12-12 18:27:38.46 UTC,20.1954
1349980,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20171218T175741_N0206_R141_T13TDE_20171218T193850.SAFE,2017-12-18 17:57:37.46 UTC,96.3928
1350349,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20171227T183301_N0206_R127_T11SPB_20171227T195450.SAFE,2017-12-27 18:33:03.46 UTC,1.1667
1351708,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20220415T181921_N0400_R127_T11SPB_20220415T222949.SAFE,2022-04-15 18:34:01.684 UTC,1.24497596225626
1351848,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2A_MSIL1C_20190922T025541_N0208_R032_T50RKQ_20190922T060638.SAFE,2019-09-22 03:10:32.505 UTC,10.4317
1352900,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20190921T183041_N0208_R027_T11SPB_20190921T220027.SAFE,2019-09-21 18:43:54.586 UTC,0.8107
1354190,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20220204T182541_N0400_R127_T11SPB_20220204T204314.SAFE,2022-02-04 18:33:58.117 UTC,0.0269043566544238
1355557,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2A_MSIL1C_20220218T025801_N0400_R032_T50RKQ_20220220T094646.SAFE,2022-02-18 03:10:32.609 UTC,99.8784400509708
1356766,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20230528T173911_N0509_R098_T13TDE_20230528T224214.SAFE,2023-05-28 17:53:02.766 UTC,10.6333430837012
1357681,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20220804T174921_N0400_R141_T13TDE_20220804T224949.SAFE,2022-08-04 18:03:06.408 UTC,9.33082504703037
1358219,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20220813T181931_N0400_R127_T11SPB_20220813T231856.SAFE,2022-08-13 18:34:10.674 UTC,63.1351189942966
1359619,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20230920T183041_N0509_R027_T11SPB_20230920T220701.SAFE,2023-09-20 18:43:56.315 UTC,1.42803976935827
1360381,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20230907T181921_N0509_R127_T11SPB_20230907T232838.SAFE,2023-09-07 18:34:03.631 UTC,0.0067186240257995
1362983,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20191118T175631_N0208_R141_T13TDE_20191118T194703.SAFE,2019-11-18 18:02:56.812 UTC,11.086
1363264,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20191102T182519_N0208_R127_T11SPB_20191102T214610.SAFE,2019-11-02 18:33:58.77 UTC,0.559
1363444,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20200629T181919_N0209_R127_T11SPB_20200629T215903.SAFE,2020-06-29 18:33:59.19 UTC,6.6984
1365834,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2A_MSIL1C_20231011T025631_N0509_R032_T50RKQ_20231011T044700.SAFE,2023-10-11 03:10:30.74 UTC,95.6741019439219
1366265,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20200423T182909_N0209_R027_T11SPB_20200423T233625.SAFE,2020-04-23 18:43:48.612 UTC,1.0797
1367364,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2B_MSIL1C_20200414T025539_N0209_R032_T50RKQ_20200414T063146.SAFE,2020-04-14 03:10:28.101 UTC,96.7358
1367850,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20200421T174859_N0209_R141_T13TDE_20200421T211235.SAFE,2020-04-21 18:02:50.047 UTC,28.8551
1369658,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20220831T173921_N0400_R098_T13TDE_20220831T224056.SAFE,2022-08-31 17:53:11.293 UTC,7.77782758775272
1370823,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20220612T182919_N0400_R027_T11SPB_20220612T214746.SAFE,2022-06-12 18:43:57.326 UTC,0.0213669009172975
1371007,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20220607T173909_N0400_R098_T13TDE_20220607T212043.SAFE,2022-06-07 17:53:00.543 UTC,2.3361005797486
1371050,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20220620T174909_N0400_R141_T13TDE_20220620T210833.SAFE,2022-06-20 18:02:59.99 UTC,23.3248529367852
1371275,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20220602T182919_N0400_R027_T11SPB_20220602T232708.SAFE,2022-06-02 18:43:53.94 UTC,0.0244446662871358
1371369,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20220610T174909_N0400_R141_T13TDE_20220610T211015.SAFE,2022-06-10 18:02:57.854 UTC,18.462510077936
1374042,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2A_MSIL1C_20200320T025541_N0209_R032_T50RKQ_20200320T060846.SAFE,2020-03-20 03:10:28.535 UTC,22.5593
1374390,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20200302T175139_N0209_R141_T13TDE_20200302T195108.SAFE,2020-03-02 18:02:46.999 UTC,40.1007
1374889,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20200301T182259_N0209_R127_T11SPB_20200301T215215.SAFE,2020-03-01 18:33:55.821 UTC,43.455
1376634,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20211013T175309_N0301_R141_T13TDE_20211013T210103.SAFE,2021-10-13 18:02:56.668 UTC,39.438
1376785,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20211023T175409_N0301_R141_T13TDE_20211023T210211.SAFE,2021-10-23 18:02:57.052 UTC,75.8773
1376804,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20211030T174449_N0301_R098_T13TDE_20211030T205259.SAFE,2021-10-30 17:53:00.337 UTC,8.2369
1379517,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20180721T175039_N0206_R141_T13TDE_20180721T212857.SAFE,2018-07-21 18:01:55.11 UTC,23.3062
1380343,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20180731T174909_N0206_R141_T13TDE_20180731T225651.SAFE,2018-07-31 17:56:35.43 UTC,0.4829
1380805,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20231229T183801_N0510_R027_T11SPB_20231229T202516.SAFE,2023-12-29 18:43:51.446 UTC,0.0800770816256351
1382894,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20190203T174539_N0207_R098_T13TDE_20190203T211416.SAFE,2019-02-03 17:52:59 UTC,1.349
1382912,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20190208T174501_N0207_R098_T13TDE_20190208T211507.SAFE,2019-02-08 17:52:55 UTC,99.9909
1384824,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2A_MSIL1C_20190224T025711_N0207_R032_T50RKQ_20190224T063221.SAFE,2019-02-24 03:10:27 UTC,99.9702
1385695,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20220210T175449_N0400_R141_T13TDE_20220210T200342.SAFE,2022-02-10 18:02:49.702 UTC,90.9838753023381
1387322,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20220212T183459_N0400_R027_T11SPB_20220212T204230.SAFE,2022-02-12 18:43:48.45 UTC,0.0512265310383273
1388173,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20210421T174901_N0300_R141_T13TDE_20210421T230917.SAFE,2021-04-21 18:02:50.98 UTC,91.6368
1389944,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20240103T183749_N0510_R027_T11SPB_20240103T202557.SAFE,2024-01-03 18:43:54.722 UTC,99.1382005987745
1389982,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20240111T175719_N0510_R141_T13TDE_20240112T200827.SAFE,2024-01-11 18:02:53.144 UTC,68.2758219116725
1391726,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20151216T175312_N0201_R098_T13TDE_20151216T222108.SAFE,2015-12-16 17:53:12.496 UTC,10.0
1391979,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2A_MSIL1C_20151222T031105_N0201_R032_T50RKQ_20151222T215750.SAFE,2015-12-22 03:11:05.098 UTC,96.0
1393068,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20161014T180252_N0204_R141_T13TDE_20161014T180246.SAFE,2016-10-14 18:02:46.46 UTC,57.9366
1393136,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20161016T183342_N0204_R027_T11SPB_20161016T183946.SAFE,2016-10-16 18:39:46.46 UTC,0.8218
1393311,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20161021T175252_N0204_R098_T13TDE_20161021T175250.SAFE,2016-10-21 17:52:50.46 UTC,54.2425
